"rep","time","fish","human","human_binom"
"Hanauma Bay-Backdoor-B-2020_12_16",588,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",589,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",590,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",591,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",592,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",593,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",594,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",595,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",596,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",597,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",598,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",599,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",600,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",601,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",602,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",603,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",604,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",605,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",606,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",607,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",608,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",609,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",610,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",611,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",612,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",613,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",614,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",615,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",616,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",617,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",618,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",619,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",620,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",621,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",622,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",623,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",624,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",625,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",626,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",627,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",628,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",629,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",630,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",631,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",632,4,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",633,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",634,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",635,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",636,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",637,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",638,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",639,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",640,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",641,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",642,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",643,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",644,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",645,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",646,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",647,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",648,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",649,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",650,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",651,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",652,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",653,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",654,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",655,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",656,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",657,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",658,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",659,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",660,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",661,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",662,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",663,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",664,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",665,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",666,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",667,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",668,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",669,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",670,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",671,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",672,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",673,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",674,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",675,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",676,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",677,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",678,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",679,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",680,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",681,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",682,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",683,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",684,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",685,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",686,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",687,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",688,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",689,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",690,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",691,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",692,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",693,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",694,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",695,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",696,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",697,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",698,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",699,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",700,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",701,4,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",702,4,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",703,4,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",704,4,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",705,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",706,5,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",707,4,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",708,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",709,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",710,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",711,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",712,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",713,3,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",714,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",715,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",716,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",717,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",718,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",719,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",720,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",721,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",722,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",723,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",724,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",725,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",726,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",727,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",728,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",729,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",730,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",731,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",732,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",733,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",734,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",735,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",736,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",737,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",738,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",739,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",740,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",741,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",742,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",743,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",744,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",745,2,1,TRUE
"Hanauma Bay-Backdoor-B-2020_12_16",746,2,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",747,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",748,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",749,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",750,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",751,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",752,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",753,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",754,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",755,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",756,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",757,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",758,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",759,1,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",760,0,0,FALSE
